Datetime,Tweet Id,Text
2021-11-05 07:33:39,1456525101013348354,"RT @amyklobuchar: Memo to: A few people 

From: 46 million seniors 

Americans are tired of paying the highest prices of any country for pr…"
2021-11-05 07:33:37,1456525091823624195,RT @RealCandaceO: Are Biden supporters ready to admit that the media brainwashed you into voting for your oppressor? Take a look around you…
2021-11-05 07:33:34,1456525081065132038,"RT @WajahatAli: Black, Latino, and Asian American moms also live in the suburbs and care about their children and worry about racism and ha…"
2021-11-05 07:33:34,1456525080482172928,@EU_Commission Most Americans are oblivious to the fact that their govt is waging a Hybrid War on Ethiopia aimed at… https://t.co/4aduVLk81q
2021-11-05 07:33:32,1456525069149212672,"@HustusMichael Comey and Mueller was part of the attempted coup, 4 yrs of these crazy leftist beating Americans in… https://t.co/mpL0vBPDcQ"
2021-11-05 07:33:29,1456525060299186176,"RT @Futurical: Now America is assembling a rag-tag group of thieves, looters, rapists, rebels &amp; terrorists into a so-called ""Transitional C…"
2021-11-05 07:33:29,1456525058088837142,"RT @elnathan_john: Me: Sees ""everyone"". Rushes to get app. Realises that when Americans use words like everyone, the world, all of us, ever…"
2021-11-05 07:33:26,1456525044365074451,"@Franklin_Graham I’m going to pray for the families of the 750,000 dead Americans, many who died unnecessarily, due to the Trump Covid hoax."
2021-11-05 07:33:24,1456525036152569860,"Almost sounds legit, until you learn 100K Americans annually shot w/ some of the 400 million guns out there, isn’t… https://t.co/XmmvmzdFLb"
2021-11-05 07:33:23,1456525033149452288,"RT @laurenboebert: Joe Biden's vaccine mandates violate the Constitutional rights of Americans.

We are a nation of freedom, not discrimina…"
2021-11-05 07:33:22,1456525030678929409,RT @c_misha_jr: Saying “there are milk shortages” and also “Americans need 12 gallons of milk a week” back to back is so goddamn funny
2021-11-05 07:33:20,1456525022437122048,"RT @PattyMurray: To put it simply: Americans want more sunshine and less depression.

That’s why I helped introduce the bipartisan Sunshine…"
2021-11-05 07:33:20,1456525018607853568,"RT @PeterHotez: Antiscience aggression is now a leading cause of death in America 🇺🇸 killing more Americans than global terrorism, nuclear…"
2021-11-05 07:33:19,1456525016154132486,"@MsDixieDiva8253 People who say this must be pushed back on.

What does she plan to do with those Americans who are… https://t.co/AT4M0La62N"
2021-11-05 07:33:13,1456524992158572548,RT @WalshFreedom: Democrats better start listening to middle class/working class Americans.
2021-11-05 07:33:06,1456524960567025667,RT @JoyceWhiteVance: Cheap narratives continue to succeed at convincing Americans to vote against their own self interest. As Alabama’s Coa…
2021-11-05 07:33:04,1456524953998794758,"RT @Amy_Siskind: Joe Manchin, who is blocking aid for tens of millions Americans in need, also is driving a Maserati and owns a yacht. 

Ge…"
2021-11-05 07:33:04,1456524952459427840,"RT @PeterHotez: Today we hit 750,000 Americans lost to COVID19. We’re on trajectory to hit 800,0000 by year’s end. Those last 100,000+ mayb…"
2021-11-05 07:33:00,1456524938320384001,"This is the state of American Conservatism.
An insane ouroboros of conspiracism that serves to fuel the desires of… https://t.co/tvLcEPFVGc"
2021-11-05 07:32:57,1456524922512101376,"RT @AmbassadorEstif: Yes, #Eritrea/ns are proud of Domenico Mondelli as all Afro Americans are proud of Jesse Owens in the lofty humane pod…"
2021-11-05 07:32:56,1456524920142372868,"RT @ATPMediaInfo: #RolexParisMasters QF Media Notes: https://t.co/rLHTmep8g2
* @HubertHurkacz qualifies for #NittoATPFinals with win
* @Tay…"
2021-11-05 07:32:51,1456524899334254593,"RT @NRA: NRA trains over one million Americans every year in gun safety. 

Maybe Hollywood should call us…"
2021-11-05 07:32:51,1456524899200213001,"RT @ProtectOurCare: Americans pay nearly three times more for prescription drugs than people in dozens of other countries, even for at-home…"
2021-11-05 07:32:50,1456524893562998784,That’s why the left wants to replace Americans in America. https://t.co/AtRagkOUe4
2021-11-05 07:32:49,1456524889490292736,"RT @TinResistAgain: @EliseStefanik @marceelias @claudiatenney The wealthiest 1% of Americans are the nation’s most egregious tax evaders, f…"
2021-11-05 07:32:47,1456524880917274626,RT @AJentleson: Democratic presidents have won the popular vote in seven of the last eight elections and Senate Dems represent 41 million m…
